====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 173345.E-02 A   Straggling = 480305.E-03 A
 Ion Lateral Range = 373998.E-03 A   Straggling = 467077.E-03 A
 Ion Radial  Range = 601077.E-03 A   Straggling = 302289.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 25819597.E-05 25819597.E-05 30987829.E-05 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000100.E-04 93991962.E-06 93991962.E-06 50350901.E-05 00000000.E+00 
8000100.E-04 19990943.E-05 26797900.E-05 70537392.E-05 28163081.E-05 
9000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1000010.E-03 46967365.E-05 66345477.E-05 62608317.E-05 36801486.E-05 
1100010.E-03 41323828.E-05 47700236.E-05 66253130.E-05 20909545.E-05 
1200010.E-03 31652805.E-05 31798448.E-05 48443019.E-05 13681176.E-05 
1300010.E-03 49068089.E-05 58851857.E-05 75630845.E-05 32815449.E-05 
1400010.E-03 32936579.E-05 43876380.E-05 35124794.E-05 27938160.E-05 
1500010.E-03 37005171.E-05 38157654.E-05 53845985.E-05 13732724.E-05 
1600010.E-03 28710033.E-05 34304663.E-05 57073080.E-05 16856256.E-05 
1700010.E-03 45328711.E-05 49059981.E-05 56894816.E-05 12857337.E-05 
1800010.E-03 63162770.E-05 71430314.E-05 70824637.E-05 28057781.E-05 
1900010.E-03 27436077.E-05 38820861.E-05 60647438.E-05 38572546.E-05 
2000010.E-03 39128821.E-05 50569927.E-05 74913319.E-05 52301310.E-05 
2100010.E-03 31749668.E-05 35394823.E-05 43647658.E-05 14349877.E-05 
2200010.E-03 42252913.E-05 54877237.E-05 64010737.E-05 25338256.E-05 
2300010.E-03 34041270.E-05 36684665.E-05 61300610.E-05 10389838.E-05 
