====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 168195.E-02 A   Straggling = 470823.E-03 A
 Ion Lateral Range = 352291.E-03 A   Straggling = 438165.E-03 A
 Ion Radial  Range = 592006.E-03 A   Straggling = 304809.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 35424422.E-05 42716161.E-05 59285784.E-05 15508019.E-05 
6000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000100.E-04 49092664.E-06 49092664.E-06 25483639.E-05 00000000.E+00 
8000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
9000100.E-04 60914423.E-05 60914423.E-05 61383138.E-05 00000000.E+00 
1000010.E-03 25969895.E-05 31040214.E-05 58410603.E-05 26207889.E-05 
1100010.E-03 38733702.E-05 47613772.E-05 57729654.E-05 32436922.E-05 
1200010.E-03 38412666.E-05 45725973.E-05 62917453.E-05 32748515.E-05 
1300010.E-03 16314492.E-05 23809475.E-05 34656291.E-05 19540989.E-05 
1400010.E-03 15156156.E-05 16615689.E-05 52568822.E-05 40650878.E-05 
1500010.E-03 32324536.E-05 37951951.E-05 52649351.E-05 23883267.E-05 
1600010.E-03 28948883.E-05 34485777.E-05 34243546.E-05 19562271.E-05 
1700010.E-03 35929173.E-05 48713721.E-05 63177577.E-05 35459178.E-05 
1800010.E-03 30527538.E-05 37374834.E-05 66613967.E-05 20711701.E-05 
1900010.E-03 40099644.E-05 50564290.E-05 63727914.E-05 29351864.E-05 
2000010.E-03 31423479.E-05 32853771.E-05 78978736.E-05 29809445.E-05 
2100010.E-03 49194902.E-05 53354912.E-05 62436344.E-05 26576606.E-05 
2200010.E-03 32313803.E-05 37889229.E-05 53287761.E-05 28180462.E-05 
2300010.E-03 75056590.E-05 82747330.E-05 98285370.E-05 16637047.E-05 
