====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 155706.E-02 A   Straggling = 471620.E-03 A
 Ion Lateral Range = 328123.E-03 A   Straggling = 413848.E-03 A
 Ion Radial  Range = 572055.E-03 A   Straggling = 306399.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 37255981.E-05 37255981.E-05 63329373.E-05 00000000.E+00 
5000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000100.E-04 24042311.E-05 24042311.E-05 27358761.E-05 00000000.E+00 
7000100.E-04 41320362.E-05 45844081.E-05 45520361.E-05 20066805.E-05 
8000100.E-04 17077013.E-05 17077013.E-05 17679874.E-05 00000000.E+00 
9000100.E-04 21769432.E-05 21769432.E-05 32864206.E-05 00000000.E+00 
1000010.E-03 27704573.E-05 30359934.E-05 62788669.E-05 21633508.E-05 
1100010.E-03 31359769.E-05 38003656.E-05 51202631.E-05 26188504.E-05 
1200010.E-03 40820145.E-05 44559892.E-05 69564717.E-05 25156891.E-05 
1300010.E-03 24801510.E-05 28056539.E-05 46619319.E-05 10200159.E-05 
1400010.E-03 23705043.E-05 24988880.E-05 57843940.E-05 19162844.E-05 
1500010.E-03 32058827.E-05 38942672.E-05 57378392.E-05 31064264.E-05 
1600010.E-03 29293413.E-05 38931999.E-05 51381222.E-05 22975115.E-05 
1700010.E-03 29650914.E-05 43012530.E-05 75697470.E-05 45491577.E-05 
1800010.E-03 51135540.E-05 59459632.E-05 64997039.E-05 30133439.E-05 
1900010.E-03 43235569.E-05 54281075.E-05 66463025.E-05 25778999.E-05 
2000010.E-03 25117066.E-05 32236046.E-05 60660803.E-05 36371609.E-05 
2100010.E-03 11602833.E-05 13363424.E-05 33762768.E-05 20637347.E-05 
2200010.E-03 45344795.E-05 57701163.E-05 68113919.E-05 31466655.E-05 
2300010.E-03 36748008.E-05 44628069.E-05 44980948.E-05 25943767.E-05 
