====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 171649.E-02 A   Straggling = 502164.E-03 A
 Ion Lateral Range = 364322.E-03 A   Straggling = 476200.E-03 A
 Ion Radial  Range = 578878.E-03 A   Straggling = 307461.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000100.E-04 14370914.E-04 14370914.E-04 14411658.E-04 00000000.E+00 
7000100.E-04 13140300.E-05 15701944.E-05 24618385.E-05 89401219.E-06 
8000100.E-04 27139196.E-05 27139196.E-05 34819903.E-05 00000000.E+00 
9000100.E-04 60750337.E-06 76257246.E-06 13402232.E-05 24286471.E-06 
1000010.E-03 38746875.E-05 38917551.E-05 57337631.E-05 28011258.E-06 
1100010.E-03 28562158.E-05 33170621.E-05 66219803.E-05 27508738.E-05 
1200010.E-03 43235919.E-05 50342074.E-05 66468880.E-05 23705451.E-05 
1300010.E-03 72270362.E-05 81224100.E-05 96937767.E-05 35341905.E-05 
1400010.E-03 55477753.E-05 56240359.E-05 62254380.E-05 13783469.E-06 
1500010.E-03 33479570.E-05 37699467.E-05 43234787.E-05 16929876.E-05 
1600010.E-03 39160966.E-05 57112971.E-05 51127814.E-05 38838497.E-05 
1700010.E-03 36290528.E-05 45666020.E-05 51223865.E-05 24444922.E-05 
1800010.E-03 26422014.E-05 30656245.E-05 63701092.E-05 20664184.E-05 
1900010.E-03 27085937.E-05 38418464.E-05 57686024.E-05 30933426.E-05 
2000010.E-03 35168010.E-05 38258140.E-05 56408021.E-05 25454144.E-05 
2100010.E-03 19566720.E-05 29298747.E-05 39339911.E-05 25945722.E-05 
2200010.E-03 67279250.E-05 71405825.E-05 80631418.E-05 20463415.E-05 
2300010.E-03 30734167.E-05 36810195.E-05 49497078.E-05 24195038.E-05 
