====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 169704.E-02 A   Straggling = 507940.E-03 A
 Ion Lateral Range = 438611.E-03 A   Straggling = 542050.E-03 A
 Ion Radial  Range = 623448.E-03 A   Straggling = 326800.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000100.E-04 37589090.E-05 46923277.E-05 47283694.E-05 37352014.E-05 
7000100.E-04 24358465.E-05 34520135.E-05 52263616.E-05 16121017.E-05 
8000100.E-04 79947783.E-05 93304779.E-05 87410828.E-05 40656417.E-05 
9000100.E-04 11214265.E-04 11214265.E-04 11244983.E-04 00000000.E+00 
1000010.E-03 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
1100010.E-03 34786493.E-05 40865460.E-05 52322524.E-05 25607450.E-05 
1200010.E-03 27183177.E-05 33517383.E-05 52072275.E-05 20817522.E-05 
1300010.E-03 54746102.E-05 61775074.E-05 81631316.E-05 42104225.E-05 
1400010.E-03 49667235.E-05 56478532.E-05 59760224.E-05 27938275.E-05 
1500010.E-03 68918518.E-05 79955854.E-05 90765351.E-05 35117950.E-05 
1600010.E-03 54207638.E-05 60414835.E-05 77604319.E-05 31876845.E-05 
1700010.E-03 25950993.E-05 33751317.E-05 43347191.E-05 10387028.E-05 
1800010.E-03 46139486.E-05 56365588.E-05 47077949.E-05 33130124.E-05 
1900010.E-03 49536995.E-05 58765599.E-05 65093758.E-05 32751852.E-05 
2000010.E-03 37589186.E-05 52231586.E-05 57524204.E-05 37924162.E-05 
2100010.E-03 42276520.E-05 53659080.E-05 57925951.E-05 31808843.E-05 
2200010.E-03 38431819.E-05 41646241.E-05 58363496.E-05 28251128.E-05 
2300010.E-03 39436590.E-05 41876946.E-05 58875785.E-05 21543343.E-05 
