====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 172884.E-02 A   Straggling = 483345.E-03 A
 Ion Lateral Range = 421762.E-03 A   Straggling = 520428.E-03 A
 Ion Radial  Range = 618620.E-03 A   Straggling = 330193.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
6000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
7000100.E-04 74800138.E-05 74800138.E-05 77089480.E-05 00000000.E+00 
8000100.E-04 42322356.E-05 42322356.E-05 98482577.E-05 00000000.E+00 
9000100.E-04 57249715.E-05 59770752.E-05 57578895.E-05 17483588.E-05 
1000010.E-03 10285106.E-04 10285106.E-04 12837959.E-04 00000000.E+00 
1100010.E-03 37943031.E-05 48291800.E-05 53809616.E-05 38798417.E-05 
1200010.E-03 53301007.E-05 58362324.E-05 58099579.E-05 23011878.E-05 
1300010.E-03 51533400.E-05 64096034.E-05 72687751.E-05 34332074.E-05 
1400010.E-03 54608328.E-05 70982596.E-05 73380702.E-05 48160626.E-05 
1500010.E-03 19503160.E-05 28029663.E-05 41556529.E-05 26277232.E-05 
1600010.E-03 44259560.E-05 50569776.E-05 71796171.E-05 34266939.E-05 
1700010.E-03 47900265.E-05 47901904.E-05 83590942.E-05 11158595.E-05 
1800010.E-03 40733717.E-05 48405793.E-05 62827172.E-05 21211707.E-05 
1900010.E-03 27417276.E-05 33525439.E-05 51459291.E-05 32282432.E-05 
2000010.E-03 50995107.E-05 61330130.E-05 67295718.E-05 26153833.E-05 
2100010.E-03 41774103.E-05 58433907.E-05 62415019.E-05 34332827.E-05 
2200010.E-03 22654096.E-05 25988538.E-05 41956947.E-05 17419716.E-05 
2300010.E-03 43036271.E-05 47164959.E-05 60946872.E-05 16501104.E-05 
