====== pysrim run =======
        SRIM-2013.00
=====================================
       LATERAL SPREAD OF IONS        
 See SRIM Outputs\TDATA.txt for calc. details   
Ì===================================Ê===================================
  NOTE : The Projected LATERAL Spread is based on a projection on a     
  plane- just the way the XY or XZ displays look on the screen.  The    
  Lateral Projected Range is defined as the average of the absolute     
  values of the projected lateral displacements from the X-axis.        
  One use of this range: If a mask covers half of a target, the lateral 
  range is the distance under the mask where the concentration drops to 
  25% (at the mask edge the concentration= 50% of the uniform value).   
                                                                        
  The Radial Range is the mean radial displacement range from the       
  X-axis a-uming cylindrical symmetry.                                 
========================================================================
====== TRIM Calc.= Al(150 keV) ==> None(  1 um) ==============================
------------------------------------------------------------------------------
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Al   Energy = 150 keV
 Total Ions calculated =100.00
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 9.642E22 atoms/cm3 = 3.21 g/cm3
  Layer # 1- Si = 50   Atomic Percent = 70.0 Mass Percent
  Layer # 1-  C = 50   Atomic Percent = 29.9 Mass Percent
====================================================================
 Ion Average Range = 171027.E-02 A   Straggling = 508554.E-03 A
 Ion Lateral Range = 354772.E-03 A   Straggling = 455613.E-03 A
 Ion Radial  Range = 572163.E-03 A   Straggling = 306892.E-03 A
====================================================================
                LATERAL     Projected      LATERAL        Radial    
  TARGET       PROJ.RANGE   Straggling      RADIAL      Straggling  
  DEPTH (A)   (Angstroms)   (Angstroms)   (Angstroms)   (Angstroms) 
------------ ------------- ------------- ------------- -------------
1000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
2000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
3000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
4000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
5000100.E-04 22698985.E-05 22698985.E-05 31385677.E-05 00000000.E+00 
6000100.E-04 94950401.E-06 94950401.E-06 36393282.E-05 00000000.E+00 
7000100.E-04 00000000.E+00 00000000.E+00 00000000.E+00 00000000.E+00 
8000100.E-04 12020770.E-05 12323902.E-05 13230143.E-05 24488604.E-06 
9000100.E-04 15856867.E-05 17389585.E-05 22935717.E-05 11791502.E-05 
1000010.E-03 45664053.E-05 62668622.E-05 71901517.E-05 40761442.E-05 
1100010.E-03 57445299.E-05 58888004.E-05 76080151.E-05 29167263.E-06 
1200010.E-03 65635261.E-05 79405756.E-05 88688014.E-05 17326496.E-05 
1300010.E-03 41570699.E-05 52650111.E-05 57100641.E-05 36838729.E-05 
1400010.E-03 36203156.E-05 38213813.E-05 40977746.E-05 12487497.E-05 
1500010.E-03 31144419.E-05 45778282.E-05 74188565.E-05 29384976.E-05 
1600010.E-03 45113540.E-05 55379775.E-05 71696861.E-05 21567655.E-05 
1700010.E-03 36677567.E-05 41427423.E-05 61415300.E-05 32701174.E-05 
1800010.E-03 19312261.E-05 26914667.E-05 49570912.E-05 26558999.E-05 
1900010.E-03 34735083.E-05 41999960.E-05 68577716.E-05 20337047.E-05 
2000010.E-03 24506817.E-05 33023250.E-05 38521080.E-05 22833122.E-05 
2100010.E-03 40296245.E-05 50228140.E-05 65141468.E-05 33293273.E-05 
2200010.E-03 40279465.E-05 44956202.E-05 68940723.E-05 86086751.E-06 
2300010.E-03 66986928.E-05 70424078.E-05 93381348.E-05 11975138.E-05 
